Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor56,ch6,62872,M,3.166666667,Night
Monitor56,ch7,62872,M,9,Night
Monitor56,ch8,62872,M,4.166666667,Night
Monitor56,ch9,62872,M,5.666666667,Night
Monitor58,ch1,62872,F,3.666666667,Night
Monitor58,ch10,62872,F,4.5,Night
Monitor58,ch11,62872,F,2.666666667,Night
Monitor58,ch12,62872,F,5.666666667,Night
Monitor58,ch13,62872,F,6.5,Night
Monitor58,ch14,62872,F,1.5,Night
Monitor58,ch15,62872,F,5,Night
Monitor58,ch16,62872,F,4.333333333,Night
Monitor58,ch17,62872,F,3.166666667,Night
Monitor58,ch18,62872,F,3.166666667,Night
Monitor58,ch19,62872,F,2.833333333,Night
Monitor58,ch2,62872,F,5.166666667,Night
Monitor58,ch20,62872,F,3.5,Night
Monitor58,ch21,62872,F,6.166666667,Night
Monitor58,ch22,62872,F,3.833333333,Night
Monitor58,ch23,62872,F,9.5,Night
Monitor58,ch24,62872,F,2.833333333,Night
Monitor58,ch25,62872,F,1.833333333,Night
Monitor58,ch26,62872,F,4.666666667,Night
Monitor58,ch27,62872,F,5.833333333,Night
Monitor58,ch28,62872,F,1.833333333,Night
Monitor58,ch29,62872,F,1.166666667,Night
Monitor58,ch3,62872,F,3.166666667,Night
Monitor58,ch30,62872,F,2,Night
Monitor58,ch31,62872,F,1.666666667,Night
Monitor58,ch32,62872,F,5.333333333,Night
Monitor58,ch5,62872,F,2.5,Night
Monitor58,ch6,62872,F,6.833333333,Night
Monitor58,ch7,62872,F,1.666666667,Night
Monitor58,ch8,62872,F,2,Night
Monitor58,ch9,62872,F,5.333333333,Night
